Country,Code,PI,HFI,GPI,M,GBD,HDI,ES,GI,PI Raw,HFI Raw,GPI Raw,M Raw,GBD Raw,HDI Raw,ES Raw,GI Raw,Total
Gabon,GAB,1,5,4,6,3,4,6,6,0.06578869,0.06578869,2.116,-1,42486.41,0.703,45.8,0.525,4.375
Gambia,GMB,4,5,3,3,3,8,9,7,0.28578442,0.28578442,1.891,-1,46916.56,0.496,27.9,0.612,5.25
Georgia,GEO,-1,2,4,6,1,2,6,3,-1,-1,2.116,-1,29519.9,0.812,41.3,0.331,3.428571429
Germany,DEU,-1,0,1,5,0,0,0,0,-1,-1,1.494,-1,19580.1,0.947,77.2,0.084,0.857142857
Ghana,GHA,2,3,2,4,3,6,9,6,0.13787317,0.13787317,1.776,-1,45910.46,0.611,27.6,0.538,4.375
Greece,GRC,-1,3,3,9,0,1,2,1,-1,-1,1.877,-1,19396.77,0.888,69.1,0.116,2.714285714
Greenland,GRL,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,30038.05,-1,-1,-1,1
Grenada,GRD,-1,-1,-1,-1,1,3,6,-1,-1,-1,-1,-1,27442.15,0.779,43.1,-1,3.333333333
Guam,GUM,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,30104.2,-1,-1,-1,1
Guatemala,GTM,2,3,4,5,2,5,8,5,0.13351782,0.13351782,2.267,-1,32309.45,0.663,31.8,0.479,4.25
Guinea,GIN,5,6,3,5,5,8,9,-1,0.33598137,0.33598137,2.082,-1,59374.29,0.477,26.4,-1,5.857142857
Guinea-Bissau,GNB,6,5,4,6,5,8,8,-1,0.37230676,0.37230676,2.157,-1,61936.52,0.48,29.1,-1,6
Guyana,GUY,0,3,3,5,2,4,7,5,0.01407371,0.01407371,2.05,-1,37282.71,0.682,35.9,0.462,3.625
Haiti,HTI,3,4,4,0,4,7,9,7,0.1995877,0.1995877,2.211,-1,49023.73,0.51,27,0.636,4.75
Honduras,HND,1,3,4,6,1,5,7,5,0.08952668,0.08952668,2.288,-1,28522.4,0.634,37.8,0.423,4
Hong Kong,HKG,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0.949,-1,-1,0
Hungary,HUN,-1,2,1,6,1,1,3,2,-1,-1,1.559,-1,24252.44,0.854,63.7,0.233,2.285714286
Iceland,ISL,-1,0,0,0,0,0,1,0,-1,-1,1.078,-1,17664.75,0.949,72.3,0.058,0.142857143
India,IND,2,4,6,6,3,5,9,6,0.12265247,0.12265247,2.628,-1,39559.7,0.645,27.6,0.488,5.125
Indonesia,IDN,0,3,2,5,2,4,7,5,0.02828042,0.02828042,1.831,-1,32671.56,0.718,37.8,0.48,3.5
Iran,IRN,-1,8,6,7,1,3,5,5,-1,-1,2.672,-1,26346.12,0.783,48,0.459,5
Iraq,IRQ,0,8,9,7,1,5,7,7,0.03269432,0.03269432,3.487,-1,30139.27,0.674,39.5,0.577,5.5
Ireland,IRL,-1,0,1,5,0,0,1,0,-1,-1,1.375,-1,18623.25,0.955,72.8,0.093,1
Israel,ISR,-1,2,6,10,0,0,2,1,-1,-1,2.775,-1,17481.91,0.919,65.8,0.109,3
Italy,ITA,-1,1,2,6,0,1,1,0,-1,-1,1.69,-1,17021.83,0.892,71,0.069,1.571428571
Jamaica,JAM,0,2,3,4,1,3,5,4,0.01815287,0.01815287,2.041,-1,28122.29,0.734,48.2,0.396,2.75
Japan,JPN,-1,0,1,5,0,0,1,0,-1,-1,1.36,-1,16214.11,0.919,75.1,0.094,1
Jordan,JOR,0,3,3,9,1,4,4,5,0.00152592,0.00152592,1.958,-1,23676.32,0.729,53.4,0.45,3.625
Kazakhstan,KAZ,0,3,3,6,2,2,6,2,0.00161086,0.00161086,1.948,-1,31859.54,0.825,44.7,0.19,3
Kenya,KEN,3,4,5,4,3,6,7,6,0.17788114,0.17788114,2.375,-1,45177.7,0.601,34.7,0.518,4.75
Kiribati,KIR,-1,-1,-1,-1,4,5,7,-1,-1,-1,-1,-1,53679.74,0.63,37.7,-1,5.333333333
